epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,6802.45,0.2746,0.38648,0.50235,0.93484,0.89892,0.88921,0.94083,0.91713,0.90085,0.8871,0.93979,0.91053,0.16672,0.28335,0.34713,0.85245,0.000557,0.000557,0.000557
58,6921.43,0.26966,0.36747,0.50122,0.92939,0.92311,0.90462,0.94998,0.92641,0.92311,0.90462,0.95126,0.92439,0.17276,0.25372,0.28679,0.85004,0.000544625,0.000544625,0.000544625
59,7040.71,0.26043,0.37353,0.4858,0.92279,0.90404,0.92485,0.94738,0.92301,0.90404,0.92485,0.94847,0.92246,0.1628,0.25534,0.27365,0.84431,0.00053225,0.00053225,0.00053225
60,7159.92,0.26772,0.35892,0.47785,0.93124,0.93436,0.90153,0.95273,0.92019,0.93436,0.90153,0.95322,0.92334,0.18067,0.29065,0.32206,0.85725,0.000519875,0.000519875,0.000519875
61,7279.19,0.26774,0.35652,0.47433,0.92641,0.91898,0.92755,0.9506,0.92607,0.91637,0.92489,0.946,0.92319,0.16615,0.30649,0.28241,0.84872,0.0005075,0.0005075,0.0005075
62,7398.23,0.24984,0.33199,0.46611,0.92496,0.91653,0.92424,0.94635,0.92429,0.91653,0.92424,0.94777,0.92244,0.16941,0.25446,0.29594,0.8555,0.000495125,0.000495125,0.000495125
63,7517.38,0.25548,0.34044,0.48637,0.92607,0.92729,0.90227,0.94831,0.92155,0.92729,0.90227,0.94835,0.91942,0.16719,0.28106,0.28897,0.85586,0.00048275,0.00048275,0.00048275
64,7636.44,0.25614,0.34545,0.44985,0.92782,0.91967,0.91178,0.95069,0.92618,0.91967,0.91178,0.95011,0.92357,0.17476,0.25972,0.29094,0.85924,0.000470375,0.000470375,0.000470375
65,7755.57,0.25747,0.34154,0.47655,0.921,0.93954,0.92852,0.9526,0.92649,0.93692,0.92586,0.95001,0.92374,0.17249,0.29654,0.3048,0.86371,0.000458,0.000458,0.000458
66,7874.73,0.25321,0.33909,0.46503,0.9202,0.92663,0.92206,0.94781,0.92344,0.92396,0.9194,0.94592,0.91856,0.15664,0.2757,0.2804,0.84588,0.000445625,0.000445625,0.000445625
67,7993.98,0.25384,0.33774,0.47288,0.92564,0.9419,0.88948,0.94882,0.92731,0.9388,0.88682,0.94625,0.92104,0.1471,0.28128,0.28321,0.82919,0.00043325,0.00043325,0.00043325
68,8113,0.23964,0.30283,0.4409,0.91838,0.92636,0.90793,0.93892,0.91933,0.92356,0.90645,0.9361,0.91055,0.15131,0.32208,0.30649,0.8351,0.000420875,0.000420875,0.000420875
69,8232.02,0.24651,0.32425,0.43451,0.91851,0.90544,0.90618,0.94403,0.92662,0.90268,0.90641,0.94497,0.92065,0.15738,0.27176,0.32711,0.84093,0.0004085,0.0004085,0.0004085
70,8351.05,0.24261,0.31407,0.43691,0.91771,0.92625,0.88472,0.94395,0.9208,0.92376,0.88206,0.94145,0.91628,0.15681,0.29811,0.31586,0.84931,0.000396125,0.000396125,0.000396125
71,8470.06,0.24183,0.30935,0.43704,0.91722,0.93663,0.92774,0.94737,0.92103,0.93422,0.9342,0.94895,0.92685,0.15854,0.26911,0.28736,0.84243,0.00038375,0.00038375,0.00038375
72,8589.07,0.2489,0.32179,0.4505,0.91873,0.9449,0.9304,0.94383,0.91935,0.9449,0.9304,0.94461,0.91987,0.16413,0.28876,0.29085,0.85566,0.000371375,0.000371375,0.000371375
73,8707.99,0.24138,0.32904,0.43957,0.91375,0.92981,0.92561,0.94657,0.90996,0.92733,0.92295,0.94323,0.92215,0.1931,0.31422,0.32169,0.8828,0.000359,0.000359,0.000359
74,8826.97,0.23842,0.31181,0.43431,0.91434,0.90782,0.89817,0.94162,0.91568,0.90485,0.89571,0.9433,0.92169,0.17816,0.29213,0.33603,0.87132,0.000346625,0.000346625,0.000346625
75,8945.94,0.24252,0.30859,0.43816,0.91772,0.9185,0.91812,0.94439,0.89286,0.9185,0.91812,0.94749,0.92396,0.21603,0.27341,0.37913,0.89665,0.00033425,0.00033425,0.00033425
76,9064.8,0.2378,0.30009,0.41553,0.91425,0.94773,0.92205,0.94565,0.84386,0.94773,0.92205,0.95,0.92918,0.28762,0.24586,0.43231,0.97435,0.000321875,0.000321875,0.000321875
77,9183.7,0.23402,0.30829,0.41262,0.91649,0.92476,0.92657,0.94074,0.91266,0.92476,0.92657,0.94409,0.92061,0.18224,0.30468,0.29738,0.86241,0.0003095,0.0003095,0.0003095
78,9302.71,0.2272,0.31126,0.40144,0.90773,0.91714,0.93053,0.94382,0.92317,0.91714,0.93053,0.94269,0.92223,0.15825,0.28955,0.28482,0.84819,0.000297125,0.000297125,0.000297125
79,9421.69,0.24153,0.31469,0.41381,0.91695,0.9274,0.92612,0.95052,0.93153,0.9274,0.92612,0.94962,0.92991,0.14716,0.24343,0.26496,0.83821,0.00028475,0.00028475,0.00028475
80,9540.85,0.23173,0.29924,0.41656,0.91489,0.91747,0.92831,0.94937,0.93026,0.91747,0.92831,0.95159,0.92907,0.14741,0.27319,0.26742,0.83624,0.000272375,0.000272375,0.000272375
81,9659.82,0.22527,0.30113,0.38078,0.90564,0.93982,0.91793,0.94195,0.92467,0.93982,0.91793,0.94391,0.92145,0.14325,0.32439,0.28389,0.83557,0.00026,0.00026,0.00026
82,9778.74,0.22361,0.28537,0.3801,0.91127,0.94364,0.88165,0.94807,0.93027,0.94364,0.88165,0.9522,0.92887,0.14298,0.33266,0.27198,0.83844,0.000247625,0.000247625,0.000247625
83,9897.78,0.22274,0.28559,0.38458,0.90839,0.95164,0.90697,0.94726,0.92982,0.95164,0.90697,0.9497,0.92779,0.13946,0.31419,0.25414,0.83711,0.00023525,0.00023525,0.00023525
84,10016.7,0.2139,0.28186,0.36764,0.90456,0.96085,0.91363,0.94717,0.92932,0.96085,0.91363,0.94681,0.92677,0.13918,0.28598,0.26,0.83531,0.000222875,0.000222875,0.000222875
85,10135.6,0.21515,0.27446,0.36788,0.90329,0.94995,0.91635,0.95434,0.93688,0.94995,0.91635,0.95376,0.93484,0.13604,0.2384,0.24727,0.83057,0.0002105,0.0002105,0.0002105
86,10254.8,0.22031,0.30189,0.37301,0.9058,0.9483,0.91072,0.94784,0.92622,0.9483,0.91072,0.95076,0.92972,0.1389,0.26749,0.2659,0.84121,0.000198125,0.000198125,0.000198125
87,10373.8,0.21787,0.28147,0.36538,0.90767,0.94658,0.91295,0.95107,0.9245,0.94658,0.91295,0.95361,0.92888,0.14439,0.31488,0.25457,0.84394,0.00018575,0.00018575,0.00018575
88,10492.8,0.21395,0.26915,0.35193,0.90236,0.93691,0.89321,0.94723,0.92173,0.93691,0.89321,0.94993,0.92968,0.1417,0.31181,0.28454,0.84077,0.000173375,0.000173375,0.000173375
89,10611.7,0.21155,0.27737,0.35504,0.90362,0.9333,0.9152,0.94362,0.91901,0.9333,0.9152,0.94694,0.92677,0.1486,0.31126,0.28185,0.85258,0.000161,0.000161,0.000161
90,10730.7,0.20707,0.26283,0.35848,0.90295,0.91764,0.92369,0.95234,0.93353,0.91764,0.92369,0.95234,0.93386,0.13333,0.26027,0.2479,0.83068,0.000148625,0.000148625,0.000148625
91,10849.7,0.13626,0.20558,0.20078,0.85667,0.92854,0.90842,0.94567,0.9295,0.92854,0.90842,0.94843,0.93135,0.13724,0.28958,0.26472,0.8442,0.00013625,0.00013625,0.00013625
92,10968.3,0.13501,0.19486,0.18389,0.85507,0.92457,0.92609,0.94371,0.92988,0.92457,0.92609,0.94621,0.92928,0.12629,0.3031,0.26941,0.83111,0.000123875,0.000123875,0.000123875
93,11086.8,0.12701,0.17852,0.17408,0.8511,0.94424,0.91735,0.94868,0.93217,0.94424,0.91735,0.95281,0.9322,0.13616,0.31263,0.24105,0.839,0.0001115,0.0001115,0.0001115
94,11205.5,0.13176,0.1841,0.17046,0.84928,0.9408,0.9209,0.95106,0.93373,0.93812,0.91824,0.95018,0.93298,0.13186,0.30537,0.24419,0.83568,9.9125e-05,9.9125e-05,9.9125e-05
95,11324.2,0.12658,0.184,0.1672,0.84635,0.9406,0.92471,0.94973,0.93503,0.9406,0.92471,0.95079,0.93124,0.12911,0.29501,0.23665,0.82938,8.675e-05,8.675e-05,8.675e-05
96,11442.7,0.1305,0.19842,0.15836,0.84772,0.93435,0.9261,0.94832,0.93307,0.93435,0.9261,0.9517,0.93124,0.12997,0.30126,0.23316,0.8322,7.4375e-05,7.4375e-05,7.4375e-05
97,11561.3,0.12195,0.18432,0.15703,0.84356,0.94015,0.92673,0.95008,0.93444,0.94028,0.92714,0.95316,0.93293,0.13045,0.3081,0.23372,0.83556,6.2e-05,6.2e-05,6.2e-05
98,11679.8,0.11975,0.18148,0.14712,0.84517,0.94904,0.92436,0.94935,0.93308,0.94956,0.92526,0.95112,0.93093,0.12679,0.30324,0.23571,0.82947,4.9625e-05,4.9625e-05,4.9625e-05
99,11798.5,0.12085,0.17407,0.14373,0.84228,0.93544,0.93148,0.94752,0.93444,0.93544,0.93148,0.94938,0.92983,0.12154,0.31444,0.23774,0.82201,3.725e-05,3.725e-05,3.725e-05
100,11917.1,0.11965,0.17803,0.1416,0.84107,0.92808,0.93205,0.95102,0.93244,0.92808,0.93205,0.95236,0.93192,0.12476,0.31211,0.24529,0.82538,2.4875e-05,2.4875e-05,2.4875e-05
